class_number,english,russian
0,Accordion,Аккордеон
1,Adhesive tape,Клейкая лента
2,Aircraft,Воздушное судно
3,Airplane,Самолет
4,Alarm clock,Будильник
5,Alpaca,Альпака
6,Ambulance,Скорая помощь
7,Animal,Животное
8,Ant,Муравей
9,Antelope,Антилопа
10,Apple,Яблоко
11,Armadillo,Броненосец
12,Artichoke,Артишок
13,Auto part,Автозапчасть
14,Axe,Топор
15,Backpack,Рюкзак
16,Bagel,Бейгл
17,Baked goods,Выпечка
18,Balance beam,Бревно (гимнастическое)
19,Ball,Мяч
20,Balloon,Воздушный шар
21,Banana,Банан
22,Band-aid,Пластырь
23,Banjo,Банджо
24,Barge,Баржа
25,Barrel,Бочка
26,Baseball bat,Бейсбольная бита
27,Baseball glove,Бейсбольная перчатка
28,Bat (Animal),Летучая мышь
29,Bathroom accessory,Аксессуар для ванной
30,Bathroom cabinet,Шкафчик для ванной
31,Bathtub,Ванна
32,Beaker,Химический стакан
33,Bear,Медведь
34,Bed,Кровать
35,Bee,Пчела
36,Beehive,Улей
37,Beer,Пиво
38,Beetle,Жук
39,Bell pepper,Болгарский перец
40,Belt,Ремень
41,Bench,Скамейка
42,Bicycle,Велосипед
43,Bicycle helmet,Велошлем
44,Bicycle wheel,Велосипедное колесо
45,Bidet,Биде
46,Billboard,Рекламный щит
47,Billiard table,Бильярдный стол
48,Binoculars,Бинокль
49,Bird,Птица
50,Blender,Блендер
51,Blue jay,Голубая сойка
52,Boat,Лодка
53,Bomb,Бомба
54,Book,Книга
55,Bookcase,Книжный шкаф
56,Boot,Ботинок
57,Bottle,Бутылка
58,Bottle opener,Открывалка
59,Bow and arrow,Лук и стрелы
60,Bowl,Миска
61,Bowling equipment,Боулинг-оборудование
62,Box,Коробка
63,Boy,Мальчик
64,Brassiere,Бюстгальтер
65,Bread,Хлеб
66,Briefcase,Портфель
67,Broccoli,Брокколи
68,Bronze sculpture,Бронзовая скульптура
69,Brown bear,Бурый медведь
70,Building,Здание
71,Bull,Бык
72,Burrito,Буррито
73,Bus,Автобус
74,Bust,Бюст
75,Butterfly,Бабочка
76,Cabbage,Капуста
77,Cabinetry,Мебельные шкафы
78,Cake,Торт
79,Cake stand,Подставка для торта
80,Calculator,Калькулятор
81,Camel,Верблюд
82,Camera,Камера
83,Can opener,Консервный нож
84,Canary,Канарейка
85,Candle,Свеча
86,Candy,Конфета
87,Cannon,Пушка
88,Canoe,Каноэ
89,Cantaloupe,Дыня
90,Car,Автомобиль
91,Carnivore,Хищник
92,Carrot,Морковь
93,Cart,Тележка
94,Cassette deck,Магнитофон
95,Castle,Замок
96,Cat,Кот
97,Cat furniture,Кошачья мебель
98,Caterpillar,Гусеница
99,Cattle,Крупный рогатый скот
100,Ceiling fan,Потолочный вентилятор
101,Cello,Виолончель
102,Centipede,Сороконожка
103,Chainsaw,Бензопила
104,Chair,Стул
105,Cheese,Сыр
106,Cheetah,Гепард
107,Chest of drawers,Комод
108,Chicken,Курица
109,Chime,Колокольчик
110,Chisel,Стамеска
111,Chopsticks,Палочки для еды
112,Christmas tree,Новогодняя ёлка
113,Clock,Часы
114,Closet,Шкаф
115,Clothing,Одежда
116,Coat,Пальто
117,Cocktail,Коктейль
118,Cocktail shaker,Шейкер для коктейлей
119,Coconut,Кокос
120,Coffee,Кофе
121,Coffee cup,Кофейная чашка
122,Coffee table,Журнальный стол
123,Coffeemaker,Кофеварка
124,Coin,Монета
125,Common fig,Инжир
126,Common sunflower,Подсолнух
127,Computer keyboard,Компьютерная клавиатура
128,Computer monitor,Компьютерный монитор
129,Computer mouse,Компьютерная мышь
130,Container,Контейнер
131,Convenience store,Магазин у дома
132,Cookie,Печенье
133,Cooking spray,Спрей для готовки
134,Corded phone,Проводной телефон
135,Cosmetics,Косметика
136,Couch,Диван
137,Countertop,Столешница
138,Cowboy hat,Ковбойская шляпа
139,Crab,Краб
140,Cream,Крем
141,Cricket ball,Мяч для крикета
142,Crocodile,Крокодил
143,Croissant,Круассан
144,Crown,Корона
145,Crutch,Костыль
146,Cucumber,Огурец
147,Cupboard,Буфет
148,Curtain,Штора
149,Cutting board,Разделочная доска
150,Dagger,Кинжал
151,Dairy Product,Молочный продукт
152,Deer,Олень
153,Desk,Письменный стол
154,Dessert,Десерт
155,Diaper,Подгузник
156,Dice,Игральные кости
157,Digital clock,Электронные часы
158,Dinosaur,Динозавр
159,Dishwasher,Посудомоечная машина
160,Dog,Собака
161,Dog bed,Собачья лежанка
162,Doll,Кукла
163,Dolphin,Дельфин
164,Door,Дверь
165,Door handle,Дверная ручка
166,Donut,Пончик
167,Dragonfly,Стрекоза
168,Drawer,Ящик
169,Dress,Платье
170,Drill (Tool),Дрель
171,Drink,Напиток
172,Drinking straw,Соломинка для напитков
173,Drum,Барабан
174,Duck,Утка
175,Dumbbell,Гантель
176,Eagle,Орёл
177,Earrings,Серьги
178,Egg (Food),Яйцо
179,Elephant,Слон
180,Envelope,Конверт
